,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz)
0,20,0,0,0,6,32.768,967,15.486
1,20,0,0,1,6,32.768,1,0.016
2,20,0,0,2,6,32.768,889,14.217
3,20,0,0,3,6,32.768,876,14.034
4,20,0,1,0,6,32.768,0,0.0
5,20,0,1,1,6,32.768,1655,26.432000000000002
6,20,0,1,2,6,32.768,1014,16.257
7,20,0,1,3,6,32.768,989,15.811
8,20,0,2,0,6,32.768,1,0.016
9,20,0,2,1,6,32.768,1360,21.740000000000002
10,20,0,2,2,6,32.768,0,0.0
11,20,0,2,3,6,32.768,1060,16.951
12,20,0,3,0,6,32.768,1,0.016
13,20,0,3,1,6,32.768,0,0.0
14,20,0,3,2,6,32.768,1,0.016
15,20,0,3,3,6,32.768,1392,22.25
16,20,0,4,0,7,32.768,1,0.0135
17,20,0,4,1,7,32.768,0,0.0
18,20,0,4,2,7,32.768,0,0.0
19,20,0,4,3,7,32.768,189,1.5170000000000001
20,20,0,5,0,7,32.768,0,0.001
21,20,0,5,1,7,32.768,391,3.1305
22,20,0,5,2,7,32.768,1,0.008
23,20,0,5,3,7,32.768,0,0.0
24,20,0,6,0,7,32.768,468,3.7475
25,20,0,6,1,7,32.768,446,3.5645000000000002
26,20,0,6,2,7,32.768,1,0.008
27,20,0,6,3,7,32.768,286,2.2885
28,20,0,7,0,7,32.768,557,4.4715
29,20,0,7,1,7,32.768,457,3.657
30,20,0,7,2,7,32.768,413,3.3005
31,20,0,7,3,7,32.768,330,2.642
32,20,1,0,0,0,32.768,15076,15447.872000000001
33,20,1,0,1,0,32.768,1117,1273.728
34,20,1,0,2,0,32.768,1,1.024
35,20,1,0,3,0,32.768,0,0.0
36,20,1,1,0,0,32.768,19978,20473.344
37,20,1,1,1,0,32.768,1,1.024
38,20,1,1,2,0,32.768,1,1.024
39,20,1,1,3,0,32.768,16462,16849.344
40,20,1,2,0,0,32.768,0,0.0
41,20,1,2,1,0,32.768,1,1.024
42,20,1,2,2,0,32.768,20456,20959.552
43,20,1,2,3,0,32.768,18602,19090.688000000002
44,20,1,3,0,0,32.768,1,1.024
45,20,1,3,1,0,32.768,1,1.024
46,20,1,3,2,0,32.768,9,10.048
47,20,1,3,3,0,32.768,22592,23147.008
48,20,1,4,0,0,32.768,10050,10281.088
49,20,1,4,1,0,32.768,1,1.024
50,20,1,4,2,0,32.768,1,1.024
51,20,1,4,3,0,32.768,0,0.0
52,20,1,5,0,0,32.768,0,0.0
53,20,1,5,1,0,32.768,0,0.0
54,20,1,5,2,0,32.768,11346,11596.032000000001
55,20,1,5,3,0,32.768,10215,10446.72
56,20,1,6,0,0,32.768,19007,19449.088
57,20,1,6,1,0,32.768,14241,14595.008
58,20,1,6,2,0,32.768,14473,14824.512
59,20,1,6,3,0,32.768,12398,12701.056
60,20,1,7,0,0,32.768,1,1.024
61,20,1,7,1,0,32.768,1,1.024
62,20,1,7,2,0,32.768,16178,16562.24
63,20,1,7,3,0,32.768,14162,14534.08
