,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),VDD (V),Ivdd (A),Pvdd (W),VDD1v8 (V),Ivdd1v8 (A),Pvdd1v8 (W)
0,90,0,0,0,13,32.768,0,0.0,2.9999822222222217,2.330323333333333e-07,6.990981793827776e-07,1.1999908611111112,5.7289908055555555e-06,6.874840296038279e-06
1,90,0,0,1,13,32.768,2557489,319.71612500000003,2.9999978873239432,0.00015140697183098592,0.0004542205991445069,1.1999959577464787,6.656697605633802e-06,7.988012644142254e-06
2,90,0,0,2,13,32.768,2461950,307.76,3.0000004166666665,0.0001441872222222222,0.00043256172455694453,1.1999973333333334,6.723775694444444e-06,8.068518845905836e-06
3,90,0,0,3,13,32.768,2406581,300.8465625,2.999999589041096,0.0001426423424657534,0.0004279269563308219,1.2000024794520556,6.593343150684932e-06,7.912029943909179e-06
4,90,0,1,0,13,32.768,4227116,528.4051875,2.999999726027397,0.00024731463013698637,0.0007419438296845205,1.1999993835616438,6.934051506849315e-06,8.320862250639176e-06
5,90,0,1,1,13,32.768,1,0.000125,2.9999522222222232,2.8271478611111115e-06,8.481475188504445e-06,1.2000030138888889,6.084955694444442e-06,7.301967158027361e-06
6,90,0,1,2,13,32.768,2902513,362.8170625,2.999996478873239,0.00017093604225352113,0.0005128075251587325,1.1999951408450704,6.640475492957746e-06,7.968541862827603e-06
7,90,0,1,3,13,32.768,0,0.0,2.9999898591549288,1.4236307042253524e-07,4.2709131277112656e-07,1.1999983661971831,6.149950000000001e-06,7.379939508729718e-06
8,90,0,2,0,13,32.768,4081595,510.1825,2.999998888888889,0.00024067336111111102,0.0007220197767324999,1.1999996250000002,6.68605611111111e-06,8.023270496021943e-06
9,90,0,2,1,13,32.768,0,0.0,2.9999597222222225,1.7812197222222223e-07,5.343628134425e-07,1.1999982777777776,6.193750694444443e-06,7.432500060319584e-06
10,90,0,2,2,13,32.768,3527248,440.9138125,2.999994722222221,0.00020802845833333336,0.0006240842560700001,1.1999981527777777,6.941919166666668e-06,8.330296723815277e-06
11,90,0,2,3,13,32.768,3311967,413.99456250000003,2.999999861111111,0.00019449941666666663,0.0005834982206523608,1.1999972916666666,6.831852083333336e-06,8.198210924533615e-06
12,90,0,3,0,13,32.768,0,0.0,2.9999883561643843,1.683599315068493e-07,5.050799258357533e-07,1.2000016027397262,6.2030802739725995e-06,7.443716259045755e-06
13,90,0,3,1,13,32.768,3793369,474.1568125,2.999998028169014,0.0002233884929577465,0.0006701650582283098,1.1999959436619718,6.75847338028169e-06,8.110144522076622e-06
14,90,0,3,2,13,32.768,3849721,481.197125,2.9999977777777773,0.00022577402777777778,0.0006773215755026389,1.1999915694444445,6.954487222222221e-06,8.345331025209445e-06
15,90,0,3,3,13,32.768,3333743,416.712875,2.9999970833333327,0.00019721666666666662,0.0005916494230976386,1.2000007361111114,6.812056111111111e-06,8.174475644959166e-06
16,90,0,4,0,13,32.768,620103,77.5159375,2.999999718309859,3.5028869014084506e-05,0.00010508678136792959,1.1999994366197189,6.271710985915491e-06,7.526056651114786e-06
17,90,0,4,1,13,32.768,562966,70.37043750000001,3.0000056944444444,3.465770416666665e-05,0.00010397333247369445,1.1999978472222224,6.297951111111111e-06,7.5575349054022195e-06
18,90,0,4,2,13,32.768,522970,65.3694375,3.0000033802816906,3.1925083098591556e-05,9.577541457580279e-05,1.1999992535211266,6.246460985915492e-06,7.495751436913378e-06
19,90,0,4,3,13,32.768,413723,51.717,2.9999988888888893,2.584330972222222e-05,7.752994420405553e-05,1.1999992777777782,6.175192500000001e-06,7.4102312034409726e-06
20,90,0,5,0,13,32.768,912298,114.0353125,2.999998611111111,5.4964754166666655e-05,0.0001648942161853473,1.200003541666667,6.470013055555555e-06,7.764040522846945e-06
21,90,0,5,1,13,32.768,785484,98.18531250000001,2.999614264705883,4.416365588235294e-05,0.00013247662193927942,1.1999989411764707,6.359685441176469e-06,7.631619481911027e-06
22,90,0,5,2,13,32.768,684188,85.5295,2.999506212121212,3.7129324242424234e-05,0.00011137216075251513,1.1999954242424244,6.43913696969697e-06,7.726929777992576e-06
23,90,0,5,3,13,32.768,532156,66.51762500000001,2.9999963380281676,3.2696322535211274e-05,9.808890254916903e-05,1.2000000000000002,6.235843661971833e-06,7.483014751837324e-06
24,90,0,6,0,13,32.768,1161941,145.236625,2.9999707936507947,4.847376190476189e-05,0.00014541944449358727,1.1999951746031745,6.382377777777777e-06,7.658809903326984e-06
25,90,0,6,1,13,32.768,791386,98.92518749999999,2.9999983333333327,4.88672597222222e-05,0.000146601768946875,1.2000039444444448,6.339175972222225e-06,7.607042205085696e-06
26,90,0,6,2,13,32.768,765982,95.7505,2.9999997222222223,4.555505833333335e-05,0.00013666521421241666,1.199997638888889,6.310863333333334e-06,7.573027102643747e-06
27,90,0,6,3,13,32.768,578169,72.27175,3.0000019444444455,3.5294394444444444e-05,0.00010588328169181946,1.1999998194444441,6.251977361111112e-06,7.50237508891514e-06
28,90,0,7,0,13,32.768,1,0.000125,2.999849857142857,1.5271505857142861e-06,4.581438232287859e-06,1.2000008142857144,6.154984857142859e-06,7.385988932416573e-06
29,90,0,7,1,13,32.768,978826,122.3508125,2.9982004687500017,5.95356625e-05,0.00017847951472917185,1.200000140625,6.382007031250002e-06,7.65840592367875e-06
30,90,0,7,2,13,32.768,714983,89.3754375,2.9988043548387098,3.2540816129032245e-05,9.758283227456452e-05,1.1999937580645164,6.2140229032258045e-06,7.456782923627257e-06
31,90,0,7,3,13,32.768,637418,79.679125,2.999991830985915,3.821402112676058e-05,0.00011464177934283098,1.2000023521126764,6.297650845070423e-06,7.5571992335187335e-06
32,90,1,0,0,6,32.768,0,0.0,2.99998698630137,2.040997808219177e-07,6.123057617672604e-07,1.2000009178082192,1.1198146958904108e-05,1.3437831614526576e-05
33,90,1,0,1,6,32.768,1,0.016000000000000007,2.9998809859154916,1.819825112676056e-06,5.459452693755213e-06,1.2000017605633804,1.1435315492957749e-05,1.3722403557395776e-05
34,90,1,0,2,6,32.768,1,0.016000000000000007,2.9998614084507045,1.7089065633802825e-06,5.126714478505775e-06,1.2000077042253525,1.0548694366197186e-05,1.2658516971329577e-05
35,90,1,0,3,6,32.768,1,0.016000000000000007,2.9999367605633798,2.534634830985915e-06,7.603930768190846e-06,1.200002676056338,1.1805621126760564e-05,1.4166783107869012e-05
36,90,1,1,0,6,32.768,1,0.016000000000000007,2.999861428571429,2.0137075285714276e-06,6.041285674076143e-06,1.2000089571428574,1.2765572857142855e-05,1.5318803585785717e-05
37,90,1,1,1,6,32.768,0,0.0,2.9999780555555553,1.7753505555555562e-07,5.326047962919444e-07,1.2000009583333335,1.3594370833333332e-05,1.6313267156659724e-05
38,90,1,1,2,6,32.768,0,0.0,2.999983287671232,1.313389726027397e-07,3.940208747652055e-07,1.1999982602739723,1.3553156164383561e-05,1.626377492698767e-05
