,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,-30,0,0,0,14,32.768,3891,0.2431875,2.6236063076923095e-06,2.4786601775147927e-06
1,-30,0,0,1,14,32.768,7017,0.4385625,2.252899628571429e-06,2.5152081428571425e-06
2,-30,0,0,2,14,32.768,1,6.25e-05,3.1141439942857136e-06,2.473473485714287e-06
3,-30,0,0,3,14,32.768,0,0.0,1.910733108614233e-07,2.555972134831461e-06
4,-30,0,1,0,14,32.768,11909,0.7443125,1.9588616980198017e-06,2.6747772772277217e-06
5,-30,0,1,1,14,32.768,1,6.25e-05,3.1081185604395613e-06,2.6138616483516477e-06
6,-30,0,1,2,14,32.768,1,6.25e-05,1.6952187323943657e-06,2.5971551408450693e-06
7,-30,0,1,3,14,32.768,0,0.0,1.619104754716981e-07,2.6746818867924537e-06
8,-30,0,2,0,14,32.768,12215,0.7634375,1.3049273283582096e-06,2.5462538805970143e-06
9,-30,0,2,1,14,32.768,0,0.0,2.1458689453124999e-07,2.541467929687502e-06
10,-30,0,2,2,14,32.768,0,0.0,1.571731153846154e-07,2.5187941153846146e-06
11,-30,0,2,3,14,32.768,0,0.0,1.6913186259541978e-07,2.641841145038169e-06
12,-30,0,3,0,14,32.768,0,0.0,1.7834817054263576e-07,2.6395139534883738e-06
13,-30,0,3,1,14,32.768,0,0.0,2.1652228244274807e-07,2.655124083969466e-06
14,-30,0,3,2,14,32.768,0,0.0,1.8258399245283023e-07,2.6548876226415084e-06
15,-30,0,3,3,14,32.768,0,0.0,1.998222509505705e-07,2.5479698479087444e-06
16,-30,0,4,0,14,32.768,0,0.0,1.8379706439393944e-07,2.5753914772727262e-06
17,-30,0,4,1,14,32.768,454,0.028375,1.4091445139664803e-06,2.6445373743016772e-06
18,-30,0,4,2,14,32.768,472,0.029500000000000002,1.497389072625698e-06,2.5525886033519555e-06
19,-30,0,4,3,14,32.768,468,0.02925,1.5111468277777776e-06,2.5867438333333344e-06
20,-30,0,5,0,14,32.768,624,0.039,1.0852845359116016e-06,2.5917110497237573e-06
21,-30,0,5,1,14,32.768,685,0.0428125,2.0158378108108104e-06,2.6215685405405415e-06
22,-30,0,5,2,14,32.768,700,0.043750000000000004,2.4531766574585633e-06,2.645607348066298e-06
23,-30,0,5,3,14,32.768,465,0.0290625,9.868247035175883e-07,2.6282343216080413e-06
24,-30,0,6,0,14,32.768,0,0.0,1.798834831460673e-07,2.5970819850187265e-06
25,-30,0,6,1,14,32.768,1,6.25e-05,2.100042751515153e-06,2.5459447272727274e-06
26,-30,0,6,2,14,32.768,0,0.0,1.8362946067415713e-07,2.570732771535581e-06
27,-30,0,6,3,14,32.768,445,0.0278125,1.167111548387097e-06,2.5776640860215048e-06
28,-30,0,7,0,14,32.768,1,6.25e-05,1.9047489133333344e-06,2.4958538e-06
29,-30,0,7,1,14,32.768,0,0.0,1.823026174242425e-07,2.5332990151515146e-06
30,-30,0,7,2,14,32.768,1216,0.076,1.0192584684210531e-06,2.554707000000001e-06
31,-30,0,7,3,14,32.768,564,0.035250000000000004,1.0532519797979793e-06,2.5608744444444436e-06
