,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,80,0,0,0,13,32.768,861,0.107625,2.2894686363636357e-07,1.2034609823232315e-05
1,80,0,0,1,13,32.768,1815734,226.96675000000002,0.00012716646758241762,1.1777072527472534e-05
2,80,0,0,2,13,32.768,1790320,223.79,0.00017040771282051274,1.19254358974359e-05
3,80,0,0,3,13,32.768,1771346,221.41825,0.00012176738407960193,1.1853601492537318e-05
4,80,0,1,0,13,32.768,3007686,375.96075,0.00017829372803347286,1.186338828451882e-05
5,80,0,1,1,13,32.768,1,0.000125,2.0871384397590365e-06,1.0688565060240962e-05
6,80,0,1,2,13,32.768,2101802,262.72525,0.00012586661304347826,1.1632176521739135e-05
7,80,0,1,3,13,32.768,0,0.0,2.2538872656250001e-07,1.0758866796875005e-05
8,80,0,2,0,13,32.768,2939163,367.395375,0.00017343460256410257,1.132517905982907e-05
9,80,0,2,1,13,32.768,0,0.0,2.3358873664122113e-07,1.0530448091603054e-05
10,80,0,2,2,13,32.768,2599212,324.9015,0.00015296760593220345,1.1584402118644058e-05
11,80,0,2,3,13,32.768,2433369,304.171125,0.00014378399565217396,1.1799941739130427e-05
12,80,0,3,0,13,32.768,0,0.0,2.079856603053437e-07,1.1007343129770983e-05
13,80,0,3,1,13,32.768,2745183,343.147875,0.00016115829741379311,1.1962517241379309e-05
14,80,0,3,2,13,32.768,2831526,353.94075,0.00016698130869565223,1.2416160434782614e-05
15,80,0,3,3,13,32.768,2430730,303.84125,0.0001440186147186146,1.193388831168831e-05
16,80,0,4,0,13,32.768,41300,5.1625000000000005,1.8705597416267956e-06,1.0899319138755987e-05
17,80,0,4,1,13,32.768,382322,47.79025,2.7185622484374994e-05,1.0667571875000002e-05
18,80,0,4,2,13,32.768,355509,44.438625,2.455991275661378e-05,1.1028320634920638e-05
19,80,0,4,3,13,32.768,278145,34.768125,1.806465283842795e-05,1.087312008733624e-05
20,80,0,5,0,13,32.768,614807,76.850875,3.76535259574468e-05,1.1387073191489368e-05
21,80,0,5,1,13,32.768,536033,67.004125,3.269805381165919e-05,1.0957790582959648e-05
22,80,0,5,2,13,32.768,470016,58.752,2.958247744680851e-05,1.1221219999999997e-05
23,80,0,5,3,13,32.768,361640,45.205,2.2794476097560965e-05,1.0724364390243903e-05
24,80,0,6,0,13,32.768,814016,101.752,4.893350258620688e-05,1.1566937931034493e-05
25,80,0,6,1,13,32.768,539973,67.496625,3.4153195708154506e-05,1.1355342060085825e-05
26,80,0,6,2,13,32.768,516689,64.586125,3.084749999999998e-05,1.1810858490566042e-05
27,80,0,6,3,13,32.768,391860,48.9825,2.44794852813853e-05,1.0975187445887443e-05
28,80,0,7,0,13,32.768,1,0.000125,1.7380509935897434e-06,1.0989194230769236e-05
29,80,0,7,1,13,32.768,668537,83.567125,4.097390138888889e-05,1.1416017592592597e-05
30,80,0,7,2,13,32.768,483342,60.41775,2.9387260425531907e-05,1.083283489361703e-05
31,80,0,7,3,13,32.768,431989,53.998625000000004,2.650510212765956e-05,1.1057379574468085e-05
32,80,1,0,0,6,32.768,0,0.0,2.2799453053435117e-07,1.6249499236641213e-05
33,80,1,0,1,6,32.768,2424608,38824.146,0.005835480736196319,0.00016126265398773012
