,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),VDD (V),Ivdd (A),Pvdd (W),VDD1v8 (V),Ivdd1v8 (A),Pvdd1v8 (W)
0,-10,0,0,0,14,32.768,32899,2.0561875,2.9999115686274513,1.781296058823528e-06,5.34393398135608e-06,1.2000032156862743,1.3677569745098039e-05,1.64134087933329e-05
1,-10,0,0,1,14,32.768,32174,2.010875,2.9998467346938775,1.2167022448979591e-06,3.6500770638095923e-06,1.2000115306122447,1.3570720408163263e-05,1.6285019634804078e-05
2,-10,0,0,2,14,32.768,1,6.25e-05,2.9997837500000006,1.0867815833333336e-06,3.260256686334791e-06,1.2000098749999997,1.3526850000000002e-05,1.6232351679564586e-05
3,-10,0,0,3,14,32.768,0,0.0,2.999991132075472,1.8255216981132083e-07,5.476638292958492e-07,1.1999995849056604,1.3516324528301885e-05,1.621959999357548e-05
4,-10,0,1,0,14,32.768,52956,3.30975,2.9998438775510197,1.766495857142857e-06,5.299463979920816e-06,1.2000148775510207,1.3578642857142859e-05,1.6294575661793872e-05
5,-10,0,1,1,14,32.768,1,6.25e-05,2.999759361702127,4.3052757446808504e-07,1.2915060290089358e-06,1.2000253829787235,1.3480357446808514e-05,1.6176777908285103e-05
6,-10,0,1,2,14,32.768,1,6.25e-05,2.9997776595744665,6.85586936170213e-07,2.056707188309362e-06,1.2000112978723405,1.3567397872340423e-05,1.62810369202766e-05
7,-10,0,1,3,14,32.768,0,0.0,2.999991132075473,1.3239400000000001e-07,3.971819486416982e-07,1.1999930943396226,1.3524584905660379e-05,1.622943158519434e-05
8,-10,0,2,0,14,32.768,52804,3.30025,2.9998713999999995,1.4980182399999998e-06,4.4940168662576e-06,1.20000968,1.3441771999999999e-05,1.6130249026752002e-05
9,-10,0,2,1,14,32.768,0,0.0,2.9999909433962264,1.6647666037735845e-07,4.994317992849055e-07,1.2000036981132074,1.3606616981132076e-05,1.6327993693928304e-05
10,-10,0,2,2,14,32.768,0,0.0,2.9999854716981136,1.4065920754716984e-07,4.219788464462266e-07,1.2000024528301891,1.3529003773584903e-05,1.623484934473396e-05
11,-10,0,2,3,14,32.768,0,0.0,2.999995094339624,2.3421575471698112e-07,7.026525249049056e-07,1.2000008679245282,1.3578439622641506e-05,1.629416031006981e-05
12,-10,0,3,0,14,32.768,0,0.0,2.999996153846153,1.9303748076923078e-07,5.791127485259615e-07,1.1999959807692309,1.3481521153846156e-05,1.6177775714146157e-05
13,-10,0,3,1,14,32.768,0,0.0,2.9999920754716976,1.3832322641509436e-07,4.149719603992452e-07,1.1999924905660377,1.3311903773584905e-05,1.5974200615060378e-05
14,-10,0,3,2,14,32.768,0,0.0,2.999980000000001,9.599203773584909e-08,2.879800585513208e-07,1.200005452830189,1.3641611320754718e-05,1.6370023498341508e-05
15,-10,0,3,3,14,32.768,116,0.00725,2.999994528301887,1.8421533962264148e-07,5.526516303013207e-07,1.2000077547169812,1.3409137735849056e-05,1.6091090437973586e-05
16,-10,0,4,0,14,32.768,0,0.0,2.9999998076923076,1.5749153846153842e-07,4.7248251076903837e-07,1.2000017884615384,1.3450299999999997e-05,1.6140399036780765e-05
17,-10,0,4,1,14,32.768,2886,0.180375,2.999901764705883,1.3849640588235294e-06,4.1548908115158825e-06,1.2000029215686279,1.3579590196078426e-05,1.629554617063529e-05
18,-10,0,4,2,14,32.768,2780,0.17375000000000002,2.999936274509804,1.6288859411764705e-06,4.886692984778038e-06,1.2000054901960786,1.350080980392157e-05,1.620104752162353e-05
19,-10,0,4,3,14,32.768,2099,0.1311875,2.99993326923077,1.676499269230769e-06,5.029559821115193e-06,1.2000028269230774,1.3456213461538457e-05,1.6147500291159614e-05
20,-10,0,5,0,14,32.768,4084,0.25525000000000003,2.9999160000000002,1.18150896e-06,3.5445308054967996e-06,1.1999965800000003,1.3585761999999997e-05,1.6302867657275997e-05
21,-10,0,5,1,14,32.768,4328,0.2705,2.99989,1.4925291199999999e-06,4.4775625926272e-06,1.1999981000000002,1.3508402e-05,1.6210056334263998e-05
22,-10,0,5,2,14,32.768,4019,0.2511875,2.9998798,2.0881495800000002e-06,6.264657873910002e-06,1.2000107200000003,1.3585594e-05,1.6302863542124002e-05
23,-10,0,5,3,14,32.768,2930,0.183125,2.9998956000000003,8.083456399999997e-07,2.4250172394154e-06,1.1999977000000002,1.3621664e-05,1.6345970094831996e-05
24,-10,0,6,0,14,32.768,7539,0.47118750000000004,2.999921176470589,1.6387608235294116e-06,4.916261318079412e-06,1.2000032941176473,1.3550919607843135e-05,1.6261152983788244e-05
25,-10,0,6,1,14,32.768,1,6.25e-05,2.9998226530612238,1.3736559591836739e-06,4.121209089762042e-06,1.2000110612244896,1.3585565306122449e-05,1.6302823824795922e-05
26,-10,0,6,2,14,32.768,0,0.0,3.0000028301886785,1.954741320754717e-07,5.864281073128302e-07,1.1999977547169811,1.3456554716981135e-05,1.6147851176350946e-05
27,-10,0,6,3,14,32.768,2884,0.18025,2.999906274509803,1.2740628235294114e-06,3.822195638312353e-06,1.1999974705882352,1.3587386274509805e-05,1.6304840663590195e-05
28,-10,0,7,0,14,32.768,1,6.25e-05,2.999872857142856,1.8049724285714283e-06,5.41487310994939e-06,1.2000081428571423,1.3545304081632653e-05,1.6254480418175514e-05
29,-10,0,7,1,14,32.768,0,0.0,2.9999925000000003,1.5486646153846153e-07,4.646031378078847e-07,1.2000004807692308,1.371619807692308e-05,1.645946598976731e-05
30,-10,0,7,2,14,32.768,4042,0.252625,2.9998915686274508,4.6568807843137265e-07,1.397040824002157e-06,1.1999960392156863,1.3728445098039216e-05,1.647408275221372e-05
31,-10,0,7,3,14,32.768,3242,0.202625,2.9998937254901947,5.723541764705882e-07,1.7170581827049018e-06,1.1999985098039214,1.3634790196078432e-05,1.636174126356863e-05
32,-10,1,0,0,7,32.768,0,0.0,2.9999958490566048,9.317843396226417e-08,2.795432472826415e-07,1.1999988679245281,1.4070507547169812e-05,1.688461424111132e-05
33,-10,1,0,1,7,32.768,0,0.0,2.9999811320754723,1.9777609433962266e-07,5.933303419420754e-07,1.1999999433962265,1.4088471698113205e-05,1.6906177526945276e-05
34,-10,1,0,2,7,32.768,1,0.008,2.9998805999999996,1.9598319999999986e-06,5.8794585554319986e-06,1.20000836,1.4014399999999997e-05,1.6817396736748e-05
35,-10,1,0,3,7,32.768,1,0.008,2.9999038,1.9777545399999998e-06,5.933252264300801e-06,1.2000059199999997,1.4277103999999998e-05,1.7132612689332003e-05
36,-10,1,1,0,7,32.768,1,0.008,2.999973076923079,3.00481825e-06,9.014483815479613e-06,1.1999993076923077,1.4472221153846155e-05,1.7366660591028848e-05
37,-10,1,1,1,7,32.768,0,0.0,2.9999783018867925,1.3857177358490563e-07,4.1571801970415075e-07,1.2000064905660373,1.443689811320755e-05,1.7324396306496225e-05
38,-10,1,1,2,7,32.768,0,0.0,2.999984905660378,1.0754490566037733e-07,3.2263988940396225e-07,1.2000021320754715,1.4635516981132072e-05,1.7562676236216982e-05
39,-10,1,1,3,7,32.768,1,0.008,2.9998072340425526,1.3508679148936167e-06,4.053035337209788e-06,1.2000202127659576,1.435225531914893e-05,1.7223000575157446e-05
40,-10,1,2,0,7,32.768,0,0.0,2.999991320754717,1.1665467924528303e-07,3.499702370024528e-07,1.1999999622641513,1.4557450943396225e-05,1.7468964288343398e-05
41,-10,1,2,1,7,32.768,1,0.008,2.9999065999999988,2.1561137199999998e-06,6.468533103470198e-06,1.2000103199999999,1.4846292e-05,1.781570425571e-05
42,-10,1,2,2,7,32.768,1,0.008,2.999897254901961,2.151616509803922e-06,6.454857685033727e-06,1.200016039215686,1.489188235294118e-05,1.7870498032307838e-05
43,-10,1,2,3,7,32.768,0,0.0,2.9999954716981128,1.4637232075471695e-07,4.391214941130188e-07,1.1999995471698115,1.5028650943396227e-05,1.8034394807909436e-05
44,-10,1,3,0,7,32.768,0,0.0,2.99999,2.159147735849057e-07,6.477499659098113e-07,1.2000024150943396,1.5094149056603777e-05,1.8113039268260373e-05
45,-10,1,3,1,7,32.768,1,0.008,2.999748260869566,6.920951304347826e-07,2.0764528207717392e-06,1.2000214130434785,1.4959995652173914e-05,1.795230900518696e-05
46,-10,1,3,2,7,32.768,1,0.008,2.9998324,1.4736551800000004e-06,4.420928447696998e-06,1.2000125599999998,1.5192326e-05,1.8230985406909994e-05
47,-10,1,3,3,7,32.768,0,0.0,2.999993207547169,1.5079467924528305e-07,4.523908841928303e-07,1.2000024339622635,1.5219647169811321e-05,1.8263638387379242e-05
48,-10,1,4,0,7,32.768,0,0.0,2.9999790566037743,1.7318309433962267e-07,5.195524875647171e-07,1.2000062075471696,1.409552264150944e-05,1.6914725646201887e-05
49,-10,1,4,1,7,32.768,1,0.008,2.9999309803921568,2.466380019607842e-06,7.399160517611567e-06,1.2000044705882356,1.4177158823529408e-05,1.7012667045754904e-05
50,-10,1,4,2,7,32.768,0,0.0,2.9999854716981136,2.471092452830188e-07,7.413309120041512e-07,1.200005132075472,1.4281224528301888e-05,1.7137560998467924e-05
51,-10,1,4,3,7,32.768,0,0.0,2.9999973584905666,1.3944513207547174e-07,4.183419073549056e-07,1.1999970188679245,1.4141175471698114e-05,1.6969375758566037e-05
52,-10,1,5,0,7,32.768,0,0.0,2.999996037735849,1.4428977358490569e-07,4.328739792641509e-07,1.1999987169811317,1.4182022641509435e-05,1.7018421189998106e-05
53,-10,1,5,1,7,32.768,1,0.008,2.9999535294117643,2.788605509803922e-06,8.365865988450393e-06,1.1999990588235292,1.4337792156862745e-05,1.7205336249011764e-05
54,-10,1,5,2,7,32.768,1,0.008,2.9998918000000003,2.052832e-06,6.158513981974998e-06,1.2000021200000004,1.4263678e-05,1.7116443432191997e-05
55,-10,1,5,3,7,32.768,0,0.0,2.999987169811321,1.3286813207547172e-07,3.986076103701887e-07,1.199997245283019,1.4275299999999995e-05,1.7130343086692455e-05
56,-10,1,6,0,7,32.768,1,0.008,2.9997822916666657,9.400313541666667e-07,2.8200385847666655e-06,1.2000066041666673,1.4395539583333332e-05,1.7274740904652084e-05
57,-10,1,6,1,7,32.768,0,0.0,2.9999871153846156,1.685557307692307e-07,5.056694916980769e-07,1.2000042307692307,1.4715632692307696e-05,1.765883925851923e-05
58,-10,1,6,2,7,32.768,0,0.0,2.999988076923079,1.0671330769230767e-07,3.201424698332693e-07,1.2000011153846153,1.448123653846154e-05,1.7377516068676924e-05
59,-10,1,6,3,7,32.768,0,0.0,2.9999909433962277,1.3431067924528302e-07,4.029341957677358e-07,1.1999992830188677,1.4394494339622642e-05,1.7273397831869805e-05
60,-10,1,7,0,7,32.768,1,0.008,2.9997545652173905,3.3348747826086954e-07,1.0003839548421737e-06,1.2000172173913042,1.4925508695652173e-05,1.791087027906304e-05
61,-10,1,7,1,7,32.768,1,0.008,2.9997419148936175,4.1770763829787227e-07,1.253050944355745e-06,1.2000179361702128,1.4438744680851065e-05,1.7326752423151064e-05
