,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),VDD (V),Ivdd (A),Pvdd (W),VDD1v8 (V),Ivdd1v8 (A),Pvdd1v8 (W)
0,20,0,0,0,14,32.768,244514,15.282125,2.9998833333333335,5.54590775e-06,1.6638322831123334e-05,1.8000293750000003,3.3394160416666664e-05,6.011117072556043e-05
1,20,0,0,1,14,32.768,222142,13.883875,2.9997906382978723,4.4917319574468085e-06,1.3474745887042553e-05,1.800001553191489,3.272984893617022e-05,5.8913787709717e-05
2,20,0,0,2,14,32.768,18472,1.1545,2.999792083333332,1.194582708333333e-06,3.583702283025624e-06,1.8000127500000005,3.2446570833333334e-05,5.8404246018741666e-05
3,20,0,0,3,14,32.768,0,0.0,2.9999873584905665,1.7477354716981128e-07,5.243229904801888e-07,1.8000117547169814,3.190087169811321e-05,5.742195662960945e-05
4,20,0,1,0,14,32.768,362999,22.6874375,3.000003207547169,1.253014716981132e-05,3.7590575638471695e-05,1.8000035094339626,3.1914950943396225e-05,5.744703048749433e-05
5,20,0,1,1,14,32.768,1,6.25e-05,2.9998734,1.6205855399999998e-06,4.86174426003e-06,1.8000023599999992,3.1848538e-05,5.732745404634201e-05
6,20,0,1,2,14,32.768,1,6.25e-05,2.999819375,1.420306854166667e-06,4.261189196628959e-06,1.8000125208333326,3.198106041666666e-05,5.7566309927981246e-05
7,20,0,1,3,14,32.768,0,0.0,2.9999915094339618,1.762576226415094e-07,5.287769826171698e-07,1.800006905660377,3.12931641509434e-05,5.632792586523019e-05
8,20,0,2,0,14,32.768,369394,23.087125,2.9999848076923077,1.1822776538461539e-05,3.5468325435584615e-05,1.7999976346153845,3.209595576923078e-05,5.777265155346345e-05
9,20,0,2,1,14,32.768,0,0.0,2.9999867924528307,1.531535094339623e-07,4.5946884338264137e-07,1.8000007924528305,3.2278641509433965e-05,5.810160474668301e-05
10,20,0,2,2,14,32.768,0,0.0,2.999988301886792,2.157277169811321e-07,6.471861109816981e-07,1.7999986037735842,3.195213396226414e-05,5.751381016982453e-05
11,20,0,2,3,14,32.768,0,0.0,2.9999888679245283,1.635552264150943e-07,4.906699363377358e-07,1.8000031886792454,3.2421632075471695e-05,5.8359061027233954e-05
12,20,0,3,0,14,32.768,0,0.0,2.999991698113208,1.5459713207547171e-07,4.6379715721622636e-07,1.8000061132075473,3.163131509433963e-05,5.693658903108111e-05
13,20,0,3,1,14,32.768,0,0.0,2.9999977358490577,1.3328584905660377e-07,3.9986046259679254e-07,1.7999906981132072,3.1518196226415087e-05,5.6732478425715106e-05
14,20,0,3,2,14,32.768,317540,19.84625,2.9998381249999997,7.1322214583333335e-06,2.139662027746917e-05,1.8000009791666665,3.3233479166666664e-05,5.9820296170272904e-05
15,20,0,3,3,14,32.768,334749,20.9218125,2.999947115384615,1.0715014423076921e-05,3.214458551165961e-05,1.7999929423076924,3.196357884615385e-05,5.7534219344388466e-05
16,20,0,4,0,14,32.768,0,0.0,3.0000005660377354,1.8084405660377365e-07,5.425413171220756e-07,1.7999957924528303,3.1370798113207555e-05,5.646731985681889e-05
17,20,0,4,1,14,32.768,29074,1.817125,2.9999300000000013,2.302420117647059e-06,6.90729944805255e-06,1.8000019999999997,3.182734705882351e-05,5.728929782379997e-05
18,20,0,4,2,14,32.768,27945,1.7465625,2.999941764705882,2.4412069999999996e-06,7.32366271041196e-06,1.8000032549019607,3.191600980392158e-05,5.7448929941284334e-05
19,20,0,4,3,14,32.768,20703,1.2939375,2.9999417307692307,2.2856419423076924e-06,6.856998802061154e-06,1.8000014038461534,3.205454038461538e-05,5.7698227318557704e-05
20,20,0,5,0,14,32.768,43475,2.7171875,2.9997585416666666,7.318522291666667e-07,2.1956903423681247e-06,1.8000021041666665,3.165799166666666e-05,5.698444503702083e-05
21,20,0,5,1,14,32.768,42616,2.6635,2.9998377551020403,1.6506467959183679e-06,4.951933910194693e-06,1.8000119591836738,3.243447142857143e-05,5.838244270230205e-05
22,20,0,5,2,14,32.768,39334,2.458375,2.9998402040816323,1.7290238571428567e-06,5.187047930017754e-06,1.8000147346938766,3.297370612244899e-05,5.9353163552134684e-05
23,20,0,5,3,14,32.768,29090,1.818125,2.9999023076923073,1.505252038461539e-06,4.515781644654614e-06,1.7999919230769235,3.2741811538461544e-05,5.893500820277115e-05
24,20,0,6,0,14,32.768,74884,4.68025,2.9997841666666663,8.062733541666667e-07,2.418755402737708e-06,1.8000206875,3.240880000000001e-05,5.8336510604881244e-05
25,20,0,6,1,14,32.768,1,6.25e-05,2.999928039215687,2.871137274509803e-06,8.613445707322153e-06,1.8000102549019612,3.167738235294117e-05,5.701961692201764e-05
26,20,0,6,2,14,32.768,0,0.0,3.00000037735849,9.675850943396226e-08,2.9028324565716977e-07,1.8000038113207542,3.2805254716981145e-05,5.9049602514330186e-05
27,20,0,6,3,14,32.768,29499,1.8436875000000001,2.9998911764705873,1.6411334509803922e-06,4.9234506031158834e-06,1.7999989607843139,3.172842156862746e-05,5.71111324791902e-05
28,20,0,7,0,14,32.768,1,6.25e-05,2.999837551020408,1.2105244489795922e-06,3.631573178313264e-06,1.8000024489795916,3.2634044897959184e-05,5.8741369946393884e-05
29,20,0,7,1,14,32.768,48716,3.04475,2.9999254901960763,1.5195701764705887e-06,4.558715172147058e-06,1.8000032352941173,3.243767843137255e-05,5.8387944221590166e-05
30,20,0,7,2,14,32.768,37030,2.314375,2.9999011764705883,1.4958142549019609e-06,4.487470509386472e-06,1.8000004705882355,3.18325e-05,5.729852271297449e-05
31,20,0,7,3,14,32.768,32659,2.0411875,2.9999078846153844,1.5689993269230768e-06,4.707041559432885e-06,1.799997019230769,3.1987215384615386e-05,5.757690855027694e-05
32,20,1,0,0,7,32.768,0,0.0,2.99999358490566,1.7328250943396227e-07,5.198524791064152e-07,1.7999994716981134,3.26983283018868e-05,5.885699270577171e-05
33,20,1,0,1,7,32.768,1575987,12607.896,3.0000135849056604,0.0053432139622641515,0.0160297171664132,1.7999976415094343,5.971806415094339e-05,0.0001074923932400453
34,20,1,0,2,7,32.768,1,0.008,2.9998268,1.3429291400000003e-06,4.028757951922201e-06,1.8000118,3.41027e-05,6.138528002268598e-05
35,20,1,0,3,7,32.768,1450865,11606.92,3.0000156603773585,0.0049288445283018865,0.01478661236649245,1.8000030943396221,5.737336037735849e-05,0.00010327223925626978
36,20,1,1,0,7,32.768,1,0.008,2.999902745098039,2.3229262549019613e-06,6.9688002024268646e-06,1.8000041176470587,3.45734137254902e-05,6.22322917283941e-05
37,20,1,1,1,7,32.768,0,0.0,2.9999922641509422,9.984164150943395e-08,2.9952841775018866e-07,1.799998339622642,3.484757735849057e-05,6.272559548771696e-05
38,20,1,1,2,7,32.768,2303786,18430.288,3.000008301886793,0.008376630188679244,0.025129957032403772,1.7999994339622643,6.47692603773585e-05,0.00011658463869703589
39,20,1,1,3,7,32.768,1199554,9596.432,3.000016981132075,0.004951921132075472,0.014855888265786788,1.7999924716981128,5.4860133962264153e-05,9.874787696248116e-05
40,20,1,2,0,7,32.768,0,0.0,2.999986037735849,7.68573962264151e-08,2.3057706561566032e-07,1.799997698113207,3.505031886792452e-05,6.309051493200189e-05
