,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz),Freq1 (kHz)
0,-10,0,0,0,6,32.768,145,2.32,2.32
1,-10,0,0,1,6,32.768,1,0.016,0.016
2,-10,0,0,2,6,32.768,282,4.5120000000000005,4.432
3,-10,0,0,3,6,32.768,62,0.992,0.912
4,-10,0,1,0,6,32.768,0,0.0,0.0
5,-10,0,1,1,6,32.768,250,4.0,5.024
6,-10,0,1,2,6,32.768,5,0.08,0.032
7,-10,0,1,3,6,32.768,229,3.664,3.552
8,-10,0,2,0,6,32.768,1,0.016,0.016
9,-10,0,2,1,6,32.768,1,0.016,0.016
10,-10,0,2,2,6,32.768,236,3.7760000000000002,3.7600000000000002
11,-10,0,2,3,6,32.768,0,0.0,0.0
12,-10,0,3,0,6,32.768,433,6.928,6.896
13,-10,0,3,1,6,32.768,1,0.016,0.016
14,-10,0,3,2,6,32.768,1,0.016,0.0
15,-10,0,3,3,6,32.768,1,0.016,0.016
16,-10,0,4,0,7,32.768,13,0.10400000000000001,0.10400000000000001
17,-10,0,4,1,7,32.768,47,0.376,0.376
18,-10,0,4,2,7,32.768,24,0.192,0.184
19,-10,0,4,3,7,32.768,24,0.192,0.192
20,-10,0,5,0,7,32.768,0,0.0,0.0
21,-10,0,5,1,7,32.768,0,0.0,0.0
22,-10,0,5,2,7,32.768,41,0.328,0.336
23,-10,0,5,3,7,32.768,33,0.264,0.28800000000000003
24,-10,0,6,0,7,32.768,77,0.616,0.448
25,-10,0,6,1,7,32.768,49,0.392,0.41600000000000004
26,-10,0,6,2,7,32.768,32,0.256,0.264
27,-10,0,6,3,7,32.768,1,0.008,0.008
28,-10,0,7,0,7,32.768,1,0.008,0.008
29,-10,0,7,1,7,32.768,0,0.0,0.0
30,-10,0,7,2,7,32.768,177,1.416,1.448
31,-10,0,7,3,7,32.768,46,0.368,0.36
32,-10,1,0,0,0,32.768,6878,7043.072,7079.936
33,-10,1,0,1,0,32.768,0,0.0,0.0
34,-10,1,0,2,0,32.768,0,0.0,0.0
35,-10,1,0,3,0,32.768,5695,5831.68,5795.84
36,-10,1,1,0,0,32.768,10872,11132.928,11126.784
37,-10,1,1,1,0,32.768,0,0.0,0.0
38,-10,1,1,2,0,32.768,10348,10596.352,10621.952
39,-10,1,1,3,0,32.768,1,1.024,1.024
40,-10,1,2,0,0,32.768,1,1.024,1.024
41,-10,1,2,1,0,32.768,1,1.024,1.024
42,-10,1,2,2,0,32.768,1,1.024,1.024
43,-10,1,2,3,0,32.768,0,0.0,0.0
44,-10,1,3,0,0,32.768,0,0.0,0.0
45,-10,1,3,1,0,32.768,0,0.0,0.0
46,-10,1,3,2,0,32.768,0,0.0,0.0
47,-10,1,3,3,0,32.768,0,0.0,0.0
48,-10,1,4,0,0,32.768,1,1.024,1.024
49,-10,1,4,1,0,32.768,0,0.0,0.0
50,-10,1,4,2,0,32.768,1,1.024,1.024
51,-10,1,4,3,0,32.768,3407,3488.768,3485.696
52,-10,1,5,0,0,32.768,0,0.0,0.0
53,-10,1,5,1,0,32.768,1,1.024,1.024
54,-10,1,5,2,0,32.768,5949,6091.776,6088.704
55,-10,1,5,3,0,32.768,4034,4130.816,4136.96
56,-10,1,6,0,0,32.768,9594,9824.256,9817.088
57,-10,1,6,1,0,32.768,0,0.0,0.0
58,-10,1,6,2,0,32.768,6726,6887.424,6860.8
59,-10,1,6,3,0,32.768,6024,6168.576,6152.192
60,-10,1,7,0,0,32.768,1,1.024,1.024
61,-10,1,7,1,0,32.768,9764,9998.336,10029.056
62,-10,1,7,2,0,32.768,9234,9455.616,9462.784
63,-10,1,7,3,0,32.768,7043,7212.032,7205.888
