,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz),Freq1 (kHz)
0,110,0,0,0,6,32.768,45232,723.712,724.144
1,110,0,0,1,6,32.768,46462,743.392,743.568
2,110,0,0,2,6,32.768,41452,663.232,661.84
3,110,0,0,3,6,32.768,39869,637.904,639.072
4,110,0,1,0,6,32.768,78994,1263.904,1260.896
5,110,0,1,1,6,32.768,5079,81.264,53.04
6,110,0,1,2,6,32.768,57223,915.568,913.36
7,110,0,1,3,6,32.768,41048,656.768,658.736
8,110,0,2,0,6,32.768,97919,1566.704,1563.472
9,110,0,2,1,6,32.768,76690,1227.04,1229.84
10,110,0,2,2,6,32.768,58909,942.544,941.8240000000001
11,110,0,2,3,6,32.768,52043,832.688,832.5120000000001
12,110,0,3,0,6,32.768,111007,1776.112,1777.248
13,110,0,3,1,6,32.768,79759,1276.144,1276.24
14,110,0,3,2,6,32.768,72797,1164.752,1165.056
15,110,0,3,3,6,32.768,53755,860.08,860.6080000000001
16,110,0,4,0,7,32.768,32132,257.056,257.088
17,110,0,4,1,7,32.768,29229,233.832,233.832
18,110,0,4,2,7,32.768,18451,147.608,147.656
19,110,0,4,3,7,32.768,18751,150.008,150.088
20,110,0,5,0,7,32.768,0,0.0,0.0
21,110,0,5,1,7,32.768,0,0.0,0.0
22,110,0,5,2,7,32.768,26664,213.312,213.344
23,110,0,5,3,7,32.768,22856,182.848,182.792
24,110,0,6,0,7,32.768,47361,378.88800000000003,378.91200000000003
25,110,0,6,1,7,32.768,33974,271.79200000000003,271.96
26,110,0,6,2,7,32.768,28177,225.416,225.496
27,110,0,6,3,7,32.768,26081,208.648,208.816
28,110,0,7,0,7,32.768,0,0.0,0.0
29,110,0,7,1,7,32.768,349,2.7920000000000003,2.72
30,110,0,7,2,7,32.768,36889,295.112,295.12
31,110,0,7,3,7,32.768,30888,247.104,247.16
32,110,1,0,0,0,32.768,1,1.024,1.024
33,110,1,0,1,0,32.768,70818,72517.632,72741.888
34,110,1,0,2,0,32.768,60993,62456.832,62812.16
35,110,1,0,3,0,32.768,48471,49634.304000000004,49901.568
36,110,1,1,0,0,32.768,101641,104080.384,104168.448
37,110,1,1,1,0,32.768,0,0.0,0.0
38,110,1,1,2,0,32.768,80003,81923.072,81844.224
39,110,1,1,3,0,32.768,76089,77915.136,77786.11200000001
40,110,1,2,0,0,32.768,135154,138397.696,138463.232
41,110,1,2,1,0,32.768,1,1.024,1.024
42,110,1,2,2,0,32.768,105554,108087.296,108130.304
43,110,1,2,3,0,32.768,88561,90686.464,90579.96800000001
44,110,1,3,0,0,32.768,162404,166301.696,166328.32
45,110,1,3,1,0,32.768,29,29.696,29.696
46,110,1,3,2,0,32.768,124110,127088.64,127508.48
47,110,1,3,3,0,32.768,104556,107065.344,107586.56
48,110,1,4,0,0,32.768,55691,57027.584,56992.768000000004
49,110,1,4,1,0,32.768,50448,51658.752,51461.12
50,110,1,4,2,0,32.768,45844,46944.256,46818.304000000004
51,110,1,4,3,0,32.768,35795,36654.08,36675.584
52,110,1,5,0,0,32.768,23,23.552,20.48
53,110,1,5,1,0,32.768,1,1.024,1.024
54,110,1,5,2,0,32.768,59180,60600.32,60531.712
55,110,1,5,3,0,32.768,47659,48802.816,48870.4
56,110,1,6,0,0,32.768,101330,103761.92,104006.656
57,110,1,6,1,0,32.768,17777,18203.648,18001.920000000002
58,110,1,6,2,0,32.768,70087,71769.088,71640.064
59,110,1,6,3,0,32.768,62888,64397.312,64313.344000000005
60,110,1,7,0,0,32.768,1,1.024,1.024
61,110,1,7,1,0,32.768,0,0.0,0.0
62,110,1,7,2,0,32.768,87194,89286.656,89579.52
63,110,1,7,3,0,32.768,74108,75886.592,75640.832
