,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,-30,0,0,0,14,32.768,7808,0.488,1.0069371675675679e-06,4.1839374054054047e-07
1,-30,0,0,1,14,32.768,1,6.25e-05,2.355045716312057e-06,4.0326755319148927e-07
2,-30,0,0,2,14,32.768,1,6.25e-05,1.2279767724550898e-06,3.982946646706587e-07
3,-30,0,0,3,14,32.768,1,6.25e-05,2.119071278911566e-06,4.162543945578232e-07
4,-30,0,1,0,14,32.768,0,0.0,2.0798485314685313e-07,4.190554755244756e-07
5,-30,0,1,1,14,32.768,2,0.000125,3.0844053552631576e-06,4.211046973684213e-07
6,-30,0,1,2,14,32.768,0,0.0,2.004426360424029e-07,4.290116113074209e-07
7,-30,0,1,3,14,32.768,1,6.25e-05,3.1563847826086965e-06,4.1979928985507235e-07
8,-30,0,2,0,14,32.768,1,6.25e-05,8.653982258064518e-07,3.8844453548387084e-07
9,-30,0,2,1,14,32.768,1,6.25e-05,6.529935671641791e-07,3.8660727611940323e-07
10,-30,0,2,2,14,32.768,13915,0.8696875000000001,1.4759289849999995e-06,4.2181550499999984e-07
11,-30,0,2,3,14,32.768,0,0.0,2.065041784511784e-07,4.3006988215488223e-07
12,-30,0,3,0,14,32.768,163,0.0101875,2.7318969622641504e-06,4.1530506289308185e-07
13,-30,0,3,1,14,32.768,1,6.25e-05,1.160057823129252e-06,3.865830476190475e-07
14,-30,0,3,2,14,32.768,0,0.0,1.8167533454545455e-07,4.2870850909090916e-07
15,-30,0,3,3,14,32.768,1,6.25e-05,2.35412737579618e-06,4.0330968152866226e-07
16,-30,0,4,0,14,32.768,1,6.25e-05,2.617359532051284e-06,4.1167602564102556e-07
17,-30,0,4,1,14,32.768,942,0.058875000000000004,2.0018657990196088e-06,4.1363639215686286e-07
18,-30,0,4,2,14,32.768,421,0.0263125,7.072698125000001e-07,4.210337548076921e-07
19,-30,0,4,3,14,32.768,483,0.0301875,9.237882676767672e-07,4.1386470707070703e-07
20,-30,0,5,0,14,32.768,0,0.0,2.0272441544117638e-07,4.3271636764705893e-07
21,-30,0,5,1,14,32.768,29,0.0018125,2.050067222222223e-07,4.2616015185185174e-07
22,-30,0,5,2,14,32.768,691,0.043187500000000004,1.1314524468085107e-06,4.199571702127657e-07
23,-30,0,5,3,14,32.768,530,0.033125,1.470719012658228e-06,4.1458419620253164e-07
24,-30,0,6,0,14,32.768,1,6.25e-05,1.531514561224491e-06,4.1350077551020415e-07
25,-30,0,6,1,14,32.768,1038,0.064875,1.1542170702702704e-06,4.138442054054054e-07
26,-30,0,6,2,14,32.768,607,0.0379375,6.466738810810809e-07,4.0175656216216233e-07
27,-30,0,6,3,14,32.768,1,6.25e-05,7.836728251748253e-07,3.863164755244755e-07
28,-30,0,7,0,14,32.768,1,6.25e-05,2.621594236559141e-06,4.0955561827956996e-07
29,-30,0,7,1,14,32.768,0,0.0,1.8230377407407405e-07,4.2877385555555557e-07
30,-30,0,7,2,14,32.768,1956,0.12225,5.299253589743589e-07,4.126621743589744e-07
31,-30,0,7,3,14,32.768,1401,0.0875625,1.0259162222222216e-06,4.3280467129629664e-07
32,-30,1,0,0,7,32.768,1,0.008,1.8395741949152542e-06,2.76143e-07
33,-30,1,0,1,7,32.768,0,0.0,1.836096849315069e-07,4.476434063926943e-07
34,-30,1,0,2,7,32.768,0,0.0,2.0352199534883725e-07,4.506965348837208e-07
35,-30,1,0,3,7,32.768,0,0.0,1.5925247142857145e-07,4.074037714285713e-07
36,-30,1,1,0,7,32.768,0,0.0,2.0037859500000006e-07,1.1334728300000004e-06
37,-30,1,1,1,7,32.768,0,0.0,1.929654383561644e-07,5.329925342465754e-07
38,-30,1,1,2,7,32.768,0,0.0,2.005423457943925e-07,5.992161869158882e-07
39,-30,1,1,3,7,32.768,1,0.008,1.8923802844036698e-06,2.8148318348623853e-07
40,-30,1,2,0,7,32.768,1,0.008,2.327830228346455e-06,4.657992834645669e-07
41,-30,1,2,1,7,32.768,1,0.008,1.2558639090909088e-06,1.303659363636364e-07
42,-30,1,2,2,7,32.768,1,0.008,3.1532987837837844e-06,6.183954189189187e-07
43,-30,1,2,3,7,32.768,0,0.0,1.7769899999999985e-07,5.656473636363635e-07
44,-30,1,3,0,7,32.768,0,0.0,1.759032521739131e-07,7.460629652173906e-07
45,-30,1,3,1,7,32.768,0,0.0,2.063580742574258e-07,7.662448811881186e-07
46,-30,1,3,2,7,32.768,0,0.0,1.5074758904109588e-07,6.961080136986302e-07
47,-30,1,3,3,7,32.768,0,0.0,1.8477892237442935e-07,9.530660319634699e-07
48,-30,1,4,0,7,32.768,1,0.008,3.1615517333333342e-06,4.769095866666671e-07
49,-30,1,4,1,7,32.768,0,0.0,1.9195020717131477e-07,4.690101952191233e-07
50,-30,1,4,2,7,32.768,1,0.008,2.4971154084507043e-06,2.625071690140845e-07
51,-30,1,4,3,7,32.768,1,0.008,9.609929734513273e-07,5.869584070796457e-07
52,-30,1,5,0,7,32.768,0,0.0,2.047391872146118e-07,4.1416075799086797e-07
53,-30,1,5,1,7,32.768,1,0.008,2.094505201680672e-06,3.540846050420166e-07
54,-30,1,5,2,7,32.768,0,0.0,1.62438234741784e-07,4.2289585446009395e-07
55,-30,1,5,3,7,32.768,0,0.0,1.718133018867925e-07,3.891777594339626e-07
56,-30,1,6,0,7,32.768,0,0.0,2.0615498571428566e-07,4.43893704761905e-07
57,-30,1,6,1,7,32.768,0,0.0,1.866724166666666e-07,4.96452399122807e-07
58,-30,1,6,2,7,32.768,0,0.0,1.6024694811320758e-07,5.000004999999999e-07
