,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,40,0,0,0,14,32.768,689104,43.069,2.0812255434782602e-05,2.1794389076086957e-06
1,40,0,0,1,14,32.768,790658,49.416125,2.448181861702128e-05,9.611619680851068e-07
2,40,0,0,2,14,32.768,687233,42.952062500000004,2.116949521276596e-05,5.691874308510645e-07
3,40,0,0,3,14,32.768,726970,45.435625,2.2142182317073174e-05,7.512652621951224e-07
4,40,0,1,0,14,32.768,1339838,83.739875,3.797273e-05,1.508363244444445e-06
5,40,0,1,1,14,32.768,712973,44.560812500000004,1.4712203724137922e-05,4.694210427586207e-06
6,40,0,1,2,14,32.768,69623,4.3514375,4.945676356589147e-06,7.244105116279066e-07
7,40,0,1,3,14,32.768,693020,43.31375,2.1278272872340424e-05,1.1238781117021285e-06
8,40,0,2,0,14,32.768,1,6.25e-05,2.5852206338028183e-06,-2.3556416901408426e-07
9,40,0,2,1,14,32.768,1,6.25e-05,1.8048364065040653e-06,5.790634715447156e-07
10,40,0,2,2,14,32.768,1015729,63.4830625,2.9797844623655897e-05,6.999608978494616e-07
11,40,0,2,3,14,32.768,924819,57.801187500000005,2.5660351891891868e-05,1.0531066432432437e-06
12,40,0,3,0,14,32.768,2011282,125.70512500000001,5.721320277777775e-05,1.6008119027777782e-06
13,40,0,3,1,14,32.768,1355282,84.705125,3.8939635204081616e-05,1.2473181428571428e-06
14,40,0,3,2,14,32.768,92286,5.767875,1.71849947887324e-06,9.247797887323945e-07
15,40,0,3,3,14,32.768,936925,58.557812500000004,2.834973966480448e-05,7.62917301675977e-07
16,40,0,4,0,14,32.768,153175,9.5734375,6.086441532846713e-06,1.1857706350364966e-06
17,40,0,4,1,14,32.768,162453,10.1533125,5.837446018348623e-06,9.939314587155962e-07
18,40,0,4,2,14,32.768,89202,5.575125,2.518346272108844e-06,1.1850324421768709e-06
19,40,0,4,3,14,32.768,94238,5.889875,3.7702419627329193e-06,9.539332670807453e-07
20,40,0,5,0,14,32.768,0,0.0,1.8897284057971007e-07,1.4251985120772945e-06
21,40,0,5,1,14,32.768,0,0.0,2.0577508465608455e-07,1.5295043439153446e-06
22,40,0,5,2,14,32.768,136120,8.5075,3.4642821790123454e-06,8.552453395061728e-07
23,40,0,5,3,14,32.768,111442,6.9651250000000005,5.139023603448277e-06,1.1129047816091957e-06
24,40,0,6,0,14,32.768,249134,15.570875000000001,9.14182242477876e-06,1.2193330442477873e-06
25,40,0,6,1,14,32.768,175378,10.961125000000001,5.6524317972973e-06,9.964522635135136e-07
26,40,0,6,2,14,32.768,134373,8.3983125,3.5639983357664226e-06,6.534992262773722e-07
27,40,0,6,3,14,32.768,4,0.00025,1.9812762522522526e-06,9.531461711711712e-07
28,40,0,7,0,14,32.768,0,0.0,1.5168614141414128e-07,1.644969954545455e-06
29,40,0,7,1,14,32.768,0,0.0,1.6955903465346533e-07,1.3312274950495046e-06
30,40,0,7,2,14,32.768,195550,12.221875,5.674974145038168e-06,1.6229307633587773e-07
31,40,0,7,3,14,32.768,155635,9.7271875,5.487907679245283e-06,1.3587571069182397e-06
32,40,1,0,0,7,32.768,3135582,25061.527000000002,0.009156556069364162,5.926264855491329e-05
33,40,1,0,1,7,32.768,0,0.0,1.4260980508474576e-07,6.058259169491526e-06
34,40,1,0,2,7,32.768,190,1.41,1.9388799539170523e-07,4.187115023041475e-06
35,40,1,0,3,7,32.768,2329822,18636.987999999998,0.004306896056338028,4.029633521126763e-05
36,40,1,1,0,7,32.768,4701248,37573.93,0.007597606760563379,6.719649859154931e-05
37,40,1,1,1,7,32.768,0,0.0,1.7216216877637137e-07,5.392048396624472e-06
